Timestamp,Hospital Name,Hospital Full Name,Hospital Address,City Name(Hospital) ,Bing Address,Disease Name,Rate Staff,Rate Medical Facilities,Rate Parking,Rate Ward Facilities,Overall Ratings,Any Suggestions
3/13/2021 12:40:48,Dr. Nilesh M. Bhandari Clinic,,"BHANDARI SPECIALITY CLINIC, Dandekar Pool Signal, 104 : Vrundavan Apartments, Near Golden Wheel Hotel , Indian Oil Petrol Pump Lane, Navi Peth, Off, Pune, Maharashtra 411030",Pune,"BHANDARI SPECIALITY CLINIC, Dandekar Pool Signal, 104 : Vrundavan Apartments, Near Golden Wheel Hotel , Indian Oil Petrol Pump Lane, Navi Peth, Off, Pune, Maharashtra 411030",(vertigo) Paroymsal  Positional Vertigo,4,5,4,,4,
3/13/2021 12:42:02,Dr. Nilesh M. Bhandari Clinic,,"BHANDARI SPECIALITY CLINIC, Dandekar Pool Signal, 104 : Vrundavan Apartments, Near Golden Wheel Hotel , Indian Oil Petrol Pump Lane, Navi Peth, Off, Pune, Maharashtra 411030",Pune,"BHANDARI SPECIALITY CLINIC, Dandekar Pool Signal, 104 : Vrundavan Apartments, Near Golden Wheel Hotel , Indian Oil Petrol Pump Lane, Navi Peth, Off, Pune, Maharashtra 411030",(vertigo) Paroymsal  Positional Vertigo,5,4,5,,4,
3/13/2021 12:43:28,Dr. Chitale ENT Hospital,,"2003 , Sadashiv Peth, Tilak Road,, Pune, Maharashtra 411030",Pune,"Dr. Vinaya Chitale, Chitale Hospital, 2003, Tilak Road, Sadashiv Peth, Pune, Maharashtra, India",(vertigo) Paroymsal  Positional Vertigo,4,4,4,3,4,
3/13/2021 12:47:04,Dr. Jamuna Pai Clinic,,"Jagannath Society, 9, Riverside Villas, Boat Club Rd, Pune, Maharashtra 411001",Pune,"Jagannath Society, Boat Club Rd, Pune, Maharashtra 411001",Acne,4,4,3,,4,
3/13/2021 12:48:19,Dr. Jamuna Pai Clinic,,"Jagannath Society, 9, Riverside Villas, Boat Club Rd, Pune, Maharashtra 411001",Pune,"Jagannath Society, Boat Club Rd, Pune, Maharashtra 411001",Acne,5,5,5,,5,
3/13/2021 12:49:20,Kolors Hospital,,"Ground Floor, Shop No-4, 24k World Residences S.No-198/1b/B, Nagar Road, Vimannagar, Lohegaon, Pune, Maharashtra 411014",Pune,"Kolors, Ground Floor, Shop No-4, 24k World Residences, S.No-198/1b/B, Nagar Road, Vimannagar, Lohegaon, Pune, Maharashtra, India",Acne,4,4,3,,4,
3/13/2021 12:50:43,Kolors Hospital,,"Ground Floor, Shop No-4, 24k World Residences S.No-198/1b/B, Nagar Road, Vimannagar, Lohegaon, Pune, Maharashtra 411014",Pune,"Kolors, Ground Floor, Shop No-4, 24k World Residences, S.No-198/1b/B, Nagar Road, Vimannagar, Lohegaon, Pune, Maharashtra, India",Acne,5,5,4,,5,
3/13/2021 12:51:55,Kolors Hospital,,"Ground Floor, Shop No-4, 24k World Residences S.No-198/1b/B, Nagar Road, Vimannagar, Lohegaon, Pune, Maharashtra 411014",Pune,"Kolors, Ground Floor, Shop No-4, 24k World Residences, S.No-198/1b/B, Nagar Road, Vimannagar, Lohegaon, Pune, Maharashtra, India",Acne,2,3,2,,2,
3/13/2021 12:53:06,Clear Skin Hospital,,"ClearSkin, CII-5, Shardaram Park Opp. Ruby Hospital, Sasoon Rd, Pune, Maharashtra 411001",Pune,"Clearskin, CII-5, Shardaram Park Opp. Ruby Hospital, Sasoon Road, Pune, Maharashtra 411001",Acne,5,5,5,,5,
3/13/2021 12:54:14,Clear Skin Hospital,,"ClearSkin, CII-5, Shardaram Park Opp. Ruby Hospital, Sasoon Rd, Pune, Maharashtra 411001",Pune,"Clearskin, CII-5, Shardaram Park Opp. Ruby Hospital, Sasoon Road, Pune, Maharashtra 411001",Acne,4,5,4,,4,
